product            quantity       Migros
-----------------  ----------  ---------
Milchschokolade    100g         CHF 0.70
Olivenöl           1l           CHF 7.00
Spaghetti          1kg          CHF 1.40
Senf               300g         CHF 1.00
Mineral            1,5l         CHF 0.35
Konfitüre Himbeer  100g         CHF 0.50
Fischstäbchen      450g         CHF 2.00
Mozzarella         100g         CHF 0.57
Vollmilch          1l           CHF 1.12
Hackfleisch        100g         CHF 1.20
Hinterschinken     100g         CHF 1.80
Orangen            1kg          CHF 1.47
Tomato Ketchup     500g         CHF 0.62
Toast              500g         CHF 1.29
Tortellini         400g         CHF 1.80
Lasagne            400g         CHF 2.00
Cottage Cheese     200g         CHF 1.09
Brie               100g         CHF 0.82
-----------------  ----------  ---------
TOTAL (18 items)               CHF 26.75
